,reviews,calories,calories_unit,carbs,carbs_unit,mash_ph
2880,0,174,calories,16,g,5.5
2881,0,315,calories,33,g,5.46
2882,0,251,calories,24,g,n/a
2883,0,163,calories,14,g,n/a
2884,0,298,calories,26,g,n/a
2885,0,221,calories,20,g,n/a
2886,0,192,calories,20,g,n/a
2887,0,156,calories,13,g,5.51
2888,0,218,calories,21,g,5.44
2889,0,201,calories,19,g,5.4
2890,0,172,calories,18,g,n/a
2891,0,172,calories,17,g,n/a
2892,0,147,calories,17,g,5.5
2893,0,200,calories,17,g,5.56
2894,0,470,calories,54,g,5.4
2895,0,180,calories,15,g,n/a
2896,0,131,calories,12,g,5.5
2897,0,185,calories,19,g,n/a
2898,0,211,calories,19,g,n/a
2899,0,301,calories,30,g,n/a
2900,0,211,calories,19,g,n/a
2901,0,190,calories,13,g,n/a
2902,0,242,calories,25,g,n/a
2903,0,169,calories,18,g,5.52
2904,0,283,calories,28,g,n/a
2905,0,155,calories,15,g,5.65
2906,0,188,calories,19,g,5.6
2907,0,289,calories,24,g,n/a
2908,0,236,calories,25,g,5.57
2909,0,205,calories,20,g,n/a
2910,0,205,calories,25,g,5.77
2911,0,174,calories,20,g,5.36
2912,0,148,calories,15,g,n/a
2913,0,201,calories,19,g,n/a
2914,0,217,calories,20,g,5.65
2915,0,172,calories,17,g,n/a
2916,0,256,calories,25,g,5.59
2917,0,182,calories,18,g,5.45
2918,0,197,calories,19,g,n/a
2919,0,124,calories,13,g,5.45
2920,0,158,calories,16,g,5.5
2921,0,143,calories,11,g,5.29
2922,0,107,calories,9,g,n/a
2923,0,338,calories,30,g,n/a
2924,0,195,calories,20,g,5.48
2925,0,215,calories,21,g,n/a
2926,0,198,calories,20,g,n/a
2927,0,197,calories,13,g,n/a
2928,0,186,calories,21,g,5.42
2929,0,182,calories,10,g,n/a
2930,0,139,calories,15,g,n/a
2931,0,145,calories,15,g,3.65
2932,0,125,calories,13,g,5.48
2933,0,157,calories,14,g,n/a
2934,0,176,calories,16,g,n/a
2935,0,195,calories,20,g,n/a
2936,0,349,calories,31,g,n/a
2937,0,187,calories,18,g,n/a
2938,0,158,calories,16,g,5.32
2939,0,200,calories,17,g,n/a
2940,0,279,calories,33,g,n/a
2941,0,191,calories,19,g,5.46
2942,0,304,calories,32,g,n/a
2943,0,233,calories,19,g,n/a
2944,1,165,calories,17,g,5.31
2945,0,145,calories,14,g,n/a
2946,0,218,calories,26,g,5.74
2947,0,185,calories,18,g,n/a
2948,0,187,calories,18,g,5.66
2949,0,231,calories,28,g,5.74
2950,0,111,calories,11,g,5.61
2951,0,134,calories,13,g,n/a
2952,0,123,calories,11,g,n/a
2953,0,215,calories,21,g,n/a
2954,0,147,calories,14,g,5.53
2955,0,185,calories,20,g,n/a
2956,0,206,calories,19,g,5.72
2957,0,144,calories,14,g,4.72
2958,0,205,calories,21,g,5.7
2959,0,158,calories,16,g,5.31
2960,0,185,calories,18,g,n/a
2961,0,307,calories,32,g,n/a
2962,0,152,calories,11,g,5.66
2963,0,192,calories,16,g,5.3
2964,0,149,calories,17,g,n/a
2965,0,171,calories,16,g,n/a
2966,0,116,calories,10,g,n/a
2967,1,167,calories,15,g,5.18
2968,0,163,calories,17,g,5.91
2969,0,155,calories,15,g,n/a
2970,0,207,calories,24,g,5.54
2971,0,235,calories,23,g,n/a
2972,0,174,calories,16,g,n/a
2973,0,121,calories,11,g,n/a
2974,0,286,calories,28,g,n/a
2975,0,217,calories,25,g,5.7
2976,0,151,calories,15,g,5.34
2977,0,216,calories,23,g,5.48
2978,0,194,calories,23,g,n/a
2979,0,182,calories,16,g,5.72
2980,0,204,calories,19,g,n/a
2981,0,235,calories,28,g,n/a
2982,0,154,calories,14,g,n/a
2983,0,187,calories,18,g,5.73
2984,0,171,calories,16,g,n/a
2985,0,228,calories,23,g,n/a
2986,0,149,calories,13,g,n/a
2987,0,148,calories,15,g,5.44
2988,0,173,calories,15,g,5.64
2989,0,129,calories,14,g,n/a
2990,0,158,calories,16,g,n/a
2991,0,236,calories,25,g,n/a
2992,0,176,calories,16,g,n/a
2993,0,196,calories,17,g,5.68
2994,1,208,calories,22,g,5.52
